Role,Company,Location,Date_Posted,Apply_Link
Data Analyst,Data Unveil,"Hyderabad, Telangana, India",3 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-data-unveil-4337005784?position=5&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=BLcPicaVcsvW%2FNY%2BawqkmA%3D%3D
Data Analyst,Scoutit,"Chennai, Tamil Nadu, India",6 days ago,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4322832396?position=6&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=l2kVtH6tSeXLuVvwCPIxIQ%3D%3D
BI/Data Analytics Team Lead,Shell,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/bi-data-analytics-team-lead-at-shell-4323005203?position=7&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=To6BFia4KYxbp1NvhGDORg%3D%3D
Data Annotator,Innodata Inc.,India,1 week ago,https://in.linkedin.com/jobs/view/data-annotator-at-innodata-inc-4340224362?position=8&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=b0yNRXGVsVcuwv%2Bt4%2FZzXw%3D%3D
Lead - Data Science (INAI),Blue Altair,"Pune, Maharashtra, India",1 week ago,https://in.linkedin.com/jobs/view/lead-data-science-inai-at-blue-altair-4336310211?position=9&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=tA%2BVcUreDrbq89117NSZuw%3D%3D
Finance Data Analyst 1,RSM US LLP,"Bengaluru, Karnataka, India",1 day ago,https://in.linkedin.com/jobs/view/finance-data-analyst-1-at-rsm-us-llp-4302177467?position=10&pageNum=17&refId=kg4ZYLbJGpZzamivegW2Fw%3D%3D&trackingId=vd5KCjiP4%2Fn9%2BjMXiNEy%2BQ%3D%3D
Data Management Associate,JPMorganChase,"Bengaluru, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/data-management-associate-at-jpmorganchase-4332357867?position=1&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=kE2fevayhWtG1Y6axCIADA%3D%3D
Data Annotator,Innodata Inc.,India,1 week ago,https://in.linkedin.com/jobs/view/data-annotator-at-innodata-inc-4340681226?position=2&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=jZmbB2%2Fr5cVECtLGGtfAMQ%3D%3D
Data Annotator,Innodata Inc.,India,1 week ago,https://in.linkedin.com/jobs/view/data-annotator-at-innodata-inc-4340871012?position=3&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=nj%2FTb9BFsdKsoCNre7lSnQ%3D%3D
Associate Healthcare Research & Data Analyst,Clarivate,"Karnataka, India",1 day ago,https://in.linkedin.com/jobs/view/associate-healthcare-research-data-analyst-at-clarivate-4332943977?position=4&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=Jq9Lz946ED4sMckiDDDQtQ%3D%3D
Product Analyst,ShareChat,"Bangalore Urban, Karnataka, India",4 days ago,https://in.linkedin.com/jobs/view/product-analyst-at-sharechat-4336552294?position=5&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=owGeODGEuqeogp%2FaxnkFyg%3D%3D
SAS Analyst,Cube Hub Inc.,India,1 week ago,https://in.linkedin.com/jobs/view/sas-analyst-at-cube-hub-inc-4322490104?position=6&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=5xR%2BKeQtGeIDNHfA48isyQ%3D%3D
Data Engineer,Persistent Systems,"Pune, Maharashtra, India",3 days ago,https://in.linkedin.com/jobs/view/data-engineer-at-persistent-systems-4341167994?position=7&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=8f4%2BFJZ%2FZYq8tx3pMEzA6Q%3D%3D
HR Data Analyst,bp,"Pune, Maharashtra, India",1 day ago,https://in.linkedin.com/jobs/view/hr-data-analyst-at-bp-4347031816?position=8&pageNum=20&refId=JrJCVurhg5d8oe7BmQgd9g%3D%3D&trackingId=VutGJYu3eBpT5IUrYNN67g%3D%3D
